participant_id,session_id,task,acq,median_FD,low_coverage_sum,qc_determination
sub-93856,ses-1,rest,singleband,0.0584380746138017,2,pass
sub-94276,ses-1,fracback,singleband,0.0833087607992115,2,pass
sub-94276,ses-1,rest,multiband,0.0780991984929345,2,pass
sub-94276,ses-1,rest,singleband,0.0602284811203866,2,pass
sub-94492,ses-1,fracback,singleband,0.0835656244809721,2,pass
sub-94492,ses-1,rest,multibandVARIANTNumVolumes804,0.153612353398538,2,pass
sub-94492,ses-1,rest,singleband,0.1758546048249767,2,pass
sub-94848,ses-1,rest,multibandVARIANTObliquityFalse,0.1403726717659996,2,pass
sub-95015,ses-1,rest,multiband,0.1567392904642144,2,pass
sub-95015,ses-1,rest,singleband,0.1017129949797904,2,pass
sub-95057,ses-1,fracback,singleband,0.1284742657538582,2,pass
sub-95057,ses-1,rest,multiband,0.1544607352004703,2,pass
sub-95057,ses-1,rest,singleband,0.1414240266989834,2,pass
sub-95116,ses-1,fracback,singleband,0.0481128734553099,2,pass
sub-95116,ses-1,rest,multiband,0.0681286083141581,2,pass
sub-95116,ses-1,rest,singleband,0.053738360361419,2,pass
sub-95257,ses-1,fracback,singlebandVARIANTObliquityFalse,0.0615375518705474,2,pass
sub-95257,ses-1,rest,multibandVARIANTObliquityFalse,0.083985613641569,2,pass
sub-95257,ses-1,rest,singlebandVARIANTObliquityFalse,0.1202599422298159,2,pass
sub-95460,ses-1,fracback,singleband,0.0898115118327619,2,pass
sub-95460,ses-1,rest,multiband,0.1193539719074538,2,pass
sub-95460,ses-1,rest,singleband,0.1044398631733523,2,pass
sub-96659,ses-1,fracback,singleband,0.0555621028909878,2,pass
sub-96659,ses-1,rest,multiband,0.0859423345038736,2,pass
sub-96659,ses-1,rest,singleband,0.0972857359178254,2,pass
sub-97092,ses-1,fracback,singleband,0.0520026764280316,2,pass
sub-97092,ses-1,rest,multiband,0.0909127062272136,2,pass
sub-97092,ses-1,rest,singleband,0.0695463669048398,2,pass
sub-97271,ses-1,fracback,singleband,0.0652471528768044,2,pass
sub-97271,ses-1,rest,multiband,0.1032301244030814,2,pass
sub-97271,ses-1,rest,singleband,0.0941060376503234,2,pass
sub-97485,ses-1,fracback,singleband,0.1230946498635671,2,pass
sub-97485,ses-1,rest,multiband,0.2389362503436522,2,fail
sub-97485,ses-1,rest,singleband,0.2685038296821436,2,fail
sub-97994,ses-1,fracback,singleband,0.0765932949137162,2,pass
sub-97994,ses-1,rest,multiband,0.0986195675131957,2,pass
sub-97994,ses-1,rest,singleband,0.0711649672370345,2,pass
sub-98314,ses-1,rest,multibandVARIANTObliquityFalse,0.1070977201618143,2,pass
sub-98394,ses-1,face,singleband,0.1173541211353655,2,pass
sub-98394,ses-1,fracback,singleband,0.2516268815474638,2,fail
sub-98394,ses-1,rest,multiband,0.2640965310394373,2,fail
sub-98394,ses-1,rest,singleband,0.1865067917934298,2,pass
sub-98422,ses-1,fracback,singleband,0.0302362866839879,2,pass
sub-98422,ses-1,rest,multiband,0.0918730729215872,2,pass
sub-98422,ses-1,rest,singleband,0.0600982221529238,2,pass
sub-98535,ses-1,fracback,singleband,0.0544588069051863,2,pass
sub-98535,ses-1,rest,multiband,0.0756700004871967,2,pass
sub-98535,ses-1,rest,singleband,0.1584274154320349,2,pass
sub-98567,ses-1,fracback,singleband,0.0726336675164941,2,pass
sub-98567,ses-1,rest,multiband,0.0956395254908568,2,pass
sub-98567,ses-1,rest,singleband,0.1176392141044172,2,pass
sub-98831,ses-1,face,singleband,0.0966824836185522,2,pass
sub-98831,ses-1,fracback,singleband,0.0724829347199243,2,pass
sub-98831,ses-1,rest,multiband,0.1836679693241963,2,pass
sub-98831,ses-1,rest,singleband,0.1195546760711584,2,pass
sub-98871,ses-1,fracback,singleband,0.0549906965682892,2,pass
sub-98871,ses-1,rest,multiband,0.086580307968327,2,pass
sub-98871,ses-1,rest,singleband,0.0826271850730839,2,pass
sub-99352,ses-1,rest,multibandVARIANTObliquityFalse,0.1017224324984631,2,pass
sub-99604,ses-1,fracback,singleband,0.0718408025121526,2,pass
sub-99604,ses-1,rest,multiband,0.0763483475618192,2,pass
sub-99604,ses-1,rest,singleband,0.0698491207521491,2,pass
sub-99949,ses-1,fracback,singleband,0.0553233376703235,2,pass
sub-99949,ses-1,rest,multiband,0.1646388273095894,2,pass
sub-99949,ses-1,rest,singleband,0.1397131496238429,2,pass
sub-99964,ses-1,face,singleband,0.0876931203053911,2,pass
sub-99964,ses-1,fracback,singleband,0.0517075166102578,2,pass
sub-99964,ses-1,rest,multiband,0.0646751926616733,2,pass
sub-99964,ses-1,rest,singleband,0.0540687651401428,2,pass
sub-102041,ses-1,fracback,singleband,0.048179105911542,2,pass
sub-102041,ses-1,rest,multiband,0.083172813784472,2,pass
sub-102041,ses-1,rest,singleband,0.0857851572491381,2,pass
sub-103679,ses-1,face,singleband,0.1617608660411636,2,pass
sub-103679,ses-1,fracback,singleband,0.1105989337572569,2,pass
sub-103679,ses-1,rest,multiband,0.139919803276011,2,pass
sub-103679,ses-1,rest,singleband,0.1962412452907322,2,pass
sub-104059,ses-1,rest,multiband,0.1615615727739038,2,pass
sub-104059,ses-1,rest,singleband,0.2507826623363127,2,fail
sub-104235,ses-1,fracback,singleband,0.0473319681773798,2,pass
sub-104235,ses-1,rest,multiband,0.0631845462104768,2,pass
sub-104235,ses-1,rest,singleband,0.0641971306484918,2,pass
sub-104785,ses-1,fracback,singleband,0.0614281813934596,2,pass
sub-104785,ses-1,rest,multiband,0.062453901922798,2,pass
sub-104785,ses-1,rest,singleband,0.0425442269852198,2,pass
