participant_id	grit_1	grit_2	grit_3	grit_4	grit_5	grit_6	grit_7	grit_8	grit_9	grit_10	grit_11	grit_12	grit_13	grit_14	grit_15___0	grit_15___1	grit_15___2	grit_15___3	grit_complete
sub-93787	4	3	4	4	4	3	3	4	4	4	4	4	6.0	8.0	1	1	0	1	2
sub-93856	4	2	4	3	4	3	3	3	3	3	2	5	4.0	6.0	1	1	1	1	2
sub-94276	4	2	4	5	3	3	4	5	3	3	4	3	24.0	5.0	1	0	0	0	2
sub-94492	4	2	1	3	3	4	3	3	5	3	5	5	2.0	5.0	1	0	0	1	2
sub-94848	5	5	1	1	5	5	1	1	5	5	5	5	24.0	3.0	1	1	1	1	2
sub-95015	4	4	2	3	5	4	4	5	2	4	5	5	3.0	9.0	1	1	1	1	2
sub-95057	4	3	5	3	3	4	3	3	5	3	4	5	3.0	7.0	1	1	0	1	2
sub-95116	5	4	2	2	4	5	2	2	2	3	2	3	2.0	4.0	1	1	1	1	2
sub-95257	5	5	2	3	3	5	4	3	2	4	2	5	3.0	3.0	1	1	1	1	2
sub-95460	5	5	5	3	3	5	3	3	5	4	5	5	10.0	8.0	1	1	0	1	2
sub-96659	4	3	3	4	5	3	4	2	3	4	4	4	5.0	9.0	1	1	1	0	2
sub-97092	2	2	5	3	4	3	2	2	1	2	5	5	4.0	6.0	0	1	1	1	2
sub-97271	5	3	3	2	5	5	2	2	4	4	4	4	5.0	12.0	1	1	0	1	2
sub-97485	4	4	2	4	5	5	1	2	3	4	5	5	3.0	2.0	1	1	0	1	2
sub-97994	5	4	4	4	3	5	4	4	3	4	3	5	1.5	2.0	1	0	0	0	2
sub-98314	2	2	4	4	3	5	1	2	2	5	4	5	3.0	5.0	1	1	0	0	2
sub-98394	4	3	3	2	5	4	1	1	2	3	2	3	1.0	16.0	1	0	1	1	2
sub-98422	5	4	4	3	4	5	3	4	5	4	5	5	3.0	12.0	1	1	1	1	2
sub-98535	5	3	4	3	5	5	4	4	4	5	5	5	3.0	15.0	0	1	1	0	2
sub-98567	2	2	1	4	4	3	4	3	3	4	4	3	3.0	1.0	1	1	0	0	2
sub-98831	4	4	3	4	5	3	4	4	2	5	3	3	2.0	1.0	1	1	1	0	2
sub-98871	4	3	3	3	3	3	4	2	4	3	4	4	2.0	16.0	1	0	1	0	2
sub-99352	5	5	1	4	5	5	1	1	5	4	5	4	1.0	8.0	0	0	0	1	2
sub-99604	5	3	4	1	3	5	2	1	5	2	5	5	3.0	14.0	1	1	0	1	2
sub-99949	5	3	4	2	4	5	1	3	5	4	3	5	3.0	4.0	1	1	0	1	2
sub-99964	5	1	1	1	5	5	1	5	5	5	5	5	3.0	7.0	0	1	0	0	2
